study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	scientific_name	sra_ftp	sample_alias
PRJNA396794	SAMN07501223	SRS2455911	SRX3121227	SRR5963316	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/006/SRR5963316	N4_179_023G1
PRJNA396794	SAMN07501224	SRS2455912	SRX3121228	SRR5963317	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/007/SRR5963317	N4_179_036G1
PRJNA396794	SAMN07501225	SRS2455913	SRX3121229	SRR5963318	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/008/SRR5963318	N4_179_064G1
PRJNA396794	SAMN07501226	SRS2455914	SRX3121230	SRR5963319	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/009/SRR5963319	N4_180_018G1
PRJNA396794	SAMN07501227	SRS2455917	SRX3121231	SRR5963320	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/000/SRR5963320	N4_180_018G2
PRJNA396794	SAMN07501228	SRS2455915	SRX3121232	SRR5963321	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/001/SRR5963321	N4_180_023G1
PRJNA396794	SAMN07501229	SRS2455916	SRX3121233	SRR5963322	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/002/SRR5963322	N4_180_064G1
PRJNA396794	SAMN07501230	SRS2455918	SRX3121234	SRR5963323	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/003/SRR5963323	N4_188_019G1
PRJNA396794	SAMN07501231	SRS2455919	SRX3121235	SRR5963324	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/004/SRR5963324	N4_188_025G1
PRJNA396794	SAMN07501232	SRS2455920	SRX3121236	SRR5963325	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/srr/SRR596/005/SRR5963325	N4_188_045G1
