study_accession	sample_accession	experiment_accession	run_accession	nominal_length	read_count	base_count
PRJNA422434	SAMN00792057	SRX122090	SRR413712	350	18241146	3283406280
PRJNA422434	SAMN00792058	SRX122091	SRR413713	350	17283103	3110958540
PRJNA422434	SAMN00792059	SRX122092	SRR413714	350	27235244	4902343920
PRJNA422434	SAMN00792060	SRX122093	SRR413715	350	37991711	6838507980
PRJNA422434	SAMN00792061	SRX122094	SRR413716	350	36251587	6525285660
PRJNA422434	SAMN00792062	SRX122095	SRR413717	350	15710731	2827931580
PRJNA422434	SAMN00792063	SRX122096	SRR413718	350	16036454	2886561720
PRJNA422434	SAMN00792064	SRX122097	SRR413719	350	18680470	3362484600
PRJNA422434	SAMN00792065	SRX122098	SRR413720	350	17384210	3129157800
PRJNA422434	SAMN00792066	SRX122099	SRR413721	350	27954443	5031799740
PRJNA422434	SAMN00792067	SRX122100	SRR413722	350	31269180	5628452400
PRJNA422434	SAMN00792068	SRX122101	SRR413723	350	14075023	2533504140
PRJNA422434	SAMN00792069	SRX122102	SRR413724	350	21094297	3796973460
PRJNA422434	SAMN00792070	SRX122103	SRR413725	350	22944654	4130037720
PRJNA422434	SAMN00792071	SRX122104	SRR413726	350	25715345	4628762100
PRJNA422434	SAMN00792072	SRX122105	SRR413727	350	33033068	5945952240
PRJNA422434	SAMN00792073	SRX122106	SRR413728	350	29826454	5368761720
PRJNA422434	SAMN00792074	SRX122107	SRR413729	350	16056358	2890144440
PRJNA422434	SAMN00792075	SRX122108	SRR413730	350	14238236	2562882480
PRJNA422434	SAMN00792076	SRX122109	SRR413731	350	24918435	4485318300
PRJNA422434	SAMN00792077	SRX122110	SRR413732	350	23824765	4288457700
PRJNA422434	SAMN00792078	SRX122111	SRR413733	350	34429285	6197271300
PRJNA422434	SAMN00792079	SRX122112	SRR413734	350	23087153	4155687540
PRJNA422434	SAMN00792080	SRX122113	SRR413735	350	26826217	4828719060
PRJNA422434	SAMN00792081	SRX122114	SRR413736	350	30353735	5463672300
PRJNA422434	SAMN00792082	SRX122115	SRR413737	350	28574533	5143415940
PRJNA422434	SAMN00792083	SRX122116	SRR413738	350	24937588	4488765840
PRJNA422434	SAMN00792084	SRX122117	SRR413739	350	27046881	4868438580
PRJNA422434	SAMN00792085	SRX122118	SRR413740	350	26106621	4699191780
PRJNA422434	SAMN00792086	SRX122119	SRR413741	345	19722033	3549965940
PRJNA422434	SAMN00792087	SRX122120	SRR413742	350	22095884	3977259120
PRJNA422434	SAMN00792088	SRX122121	SRR413743	350	23658761	4258576980
PRJNA422434	SAMN00792089	SRX122122	SRR413744	350	23161374	4169047320
PRJNA422434	SAMN00792090	SRX122123	SRR413745	350	24243604	4363848720
PRJNA422434	SAMN00792091	SRX122124	SRR413746	350	21285727	3831430860
PRJNA422434	SAMN00792092	SRX122125	SRR413747	350	22273233	4009181940
PRJNA422434	SAMN00792093	SRX122126	SRR413748	350	23210766	4177937880
PRJNA422434	SAMN00792094	SRX122127	SRR413749	350	21382354	3848823720
PRJNA422434	SAMN00792095	SRX122128	SRR413750	350	25223546	4540238280
PRJNA422434	SAMN00792096	SRX122129	SRR413751	350	24236489	4362568020
PRJNA422434	SAMN00792097	SRX122130	SRR413752	350	24212606	4358269080
PRJNA422434	SAMN00792098	SRX122131	SRR413753	350	30656418	5518155240
PRJNA422434	SAMN00792099	SRX122132	SRR413754	350	38398908	6911803440
