study_accession	sample_accession	experiment_accession	run_accession	nominal_length	read_count	base_count
PRJEB6456	SAMEA2580132	ERX491150	ERR525915	331	29737564	5936790060
PRJEB6456	SAMEA2580133	ERX491151	ERR525916	339	21015481	4192190530
PRJEB6456	SAMEA2580134	ERX491152	ERR525917	330	18650023	3721449230
PRJEB6456	SAMEA2580135	ERX491153	ERR525918	336	19228767	3835201850
PRJEB6456	SAMEA2580136	ERX491154	ERR525919	327	19262930	3839170010
PRJEB6456	SAMEA2580137	ERX491155	ERR525920	350	20129288	4015357390
PRJEB6456	SAMEA2580138	ERX491156	ERR525921	473	22380150	4464478590
PRJEB6456	SAMEA2580139	ERX491157	ERR525922	339	19698873	3924928770
PRJEB6456	SAMEA2580140	ERX491158	ERR525923	339	27398649	5468587830
PRJEB6456	SAMEA2580141	ERX491159	ERR525924	340	26018305	5194030430
PRJEB6456	SAMEA2580142	ERX491160	ERR525925	335	23273688	4641679330
PRJEB6456	SAMEA2580143	ERX491161	ERR525926	338	25493982	5089216530
PRJEB6456	SAMEA2580144	ERX491162	ERR525927	349	25485882	5088095840
PRJEB6456	SAMEA2580145	ERX491163	ERR525928	344	30029659	5994536420
PRJEB6456	SAMEA2580146	ERX491164	ERR525929	333	22279455	4446066740
PRJEB6456	SAMEA2580147	ERX491165	ERR525930	338	17507642	3490017490
PRJEB6456	SAMEA2580148	ERX491166	ERR525931	330	20450042	4079515380
PRJEB6456	SAMEA2580149	ERX491167	ERR525932	326	21055165	4202253180
PRJEB6456	SAMEA2580150	ERX491168	ERR525933	342	23738930	4738282240
PRJEB6456	SAMEA2580151	ERX491169	ERR525934	339	22452104	4478554940
PRJEB6456	SAMEA2580152	ERX491170	ERR525935	335	27747376	5535350960
PRJEB6456	SAMEA2580153	ERX491171	ERR525936	339	28204093	5630720010
PRJEB6456	SAMEA2580154	ERX491172	ERR525937	472	19516645	3889685190
PRJEB6456	SAMEA2580155	ERX491173	ERR525938	332	29511493	5897176030
PRJEB6456	SAMEA2580156	ERX491174	ERR525939	341	24593880	4908003600
PRJEB6456	SAMEA2580157	ERX491175	ERR525940	331	24345475	4856229890
PRJEB6456	SAMEA2580158	ERX491176	ERR525941	331	21909433	4366163620
PRJEB6456	SAMEA2580159	ERX491177	ERR525942	339	17196786	3427022730
PRJEB6456	SAMEA2580160	ERX491178	ERR525943	338	22654147	4519416020
PRJEB6456	SAMEA2580161	ERX491179	ERR525944	340	23341370	4656636450
PRJEB6456	SAMEA2580162	ERX491180	ERR525945	333	21720871	4329948900
PRJEB6456	SAMEA2580163	ERX491181	ERR525946	328	27856560	5561712720
PRJEB6456	SAMEA2580164	ERX491182	ERR525947	324	20125219	4011314520
PRJEB6456	SAMEA2580165	ERX491183	ERR525948	313	18028587	3586019240
PRJEB6456	SAMEA2580166	ERX491184	ERR525949	336	24475814	4884655220
PRJEB6456	SAMEA2580167	ERX491185	ERR525950	327	22472422	4484217830
PRJEB6456	SAMEA2580168	ERX491186	ERR525951	331	18932938	3766117940
PRJEB6456	SAMEA2580169	ERX491187	ERR525952	329	17288120	3453631490
PRJEB6456	SAMEA2580170	ERX491188	ERR525953	333	20444672	4077333230
PRJEB6456	SAMEA2580171	ERX491189	ERR525954	337	13367513	2665203880
PRJEB6456	SAMEA2580172	ERX491190	ERR525955	337	18987954	3790107880
PRJEB6456	SAMEA2580173	ERX491191	ERR525956	328	18607087	3710579060
PRJEB6456	SAMEA2580174	ERX491192	ERR525957	341	24235813	4834367340
