study_accession	sample_accession	experiment_accession	run_accession	nominal_length	read_count	base_count
PRJEB32631	SAMEA5617623	ERX3428586	ERR3404934	500	6709070	1624921041
PRJEB32631	SAMEA5617629	ERX3428587	ERR3404935	500	9068067	2217176110
PRJEB32631	SAMEA5617630	ERX3428588	ERR3404936	500	7897957	1919034964
PRJEB32631	SAMEA5617638	ERX3428589	ERR3404937	500	10463424	2558578804
PRJEB32631	SAMEA5617639	ERX3428590	ERR3404938	500	12102648	2965055485
PRJEB32631	SAMEA5616693	ERX3428591	ERR3404939	500	8362288	2019385500
PRJEB32631	SAMEA5617653	ERX3428592	ERR3404940	500	10383866	2522250144
PRJEB32631	SAMEA5617664	ERX3428593	ERR3404941	500	11047740	2703535276
PRJEB32631	SAMEA5617665	ERX3428594	ERR3404942	500	9515008	2322568009
PRJEB32631	SAMEA5616688	ERX3428595	ERR3404943	500	7611893	1840033126
PRJEB32631	SAMEA5617656	ERX3428596	ERR3404944	500	7733570	1876013995
PRJEB32631	SAMEA5617646	ERX3428597	ERR3404945	500	6367555	1531018503
PRJEB32631	SAMEA5617675	ERX3428598	ERR3404946	500	7683952	1861564677
PRJEB32631	SAMEA5617624	ERX3428599	ERR3404947	500	7921571	1915775619
PRJEB32631	SAMEA5617625	ERX3428600	ERR3404948	500	9180069	2222187141
PRJEB32631	SAMEA5617652	ERX3428601	ERR3404949	500	8361218	2017892741
PRJEB32631	SAMEA5617667	ERX3428602	ERR3404950	500	6632358	1592884061
PRJEB32631	SAMEA5617677	ERX3428603	ERR3404951	500	6468515	1554561337
PRJEB32631	SAMEA5616698	ERX3428604	ERR3404952	500	9369993	2273795598
PRJEB32631	SAMEA5617682	ERX3428605	ERR3404953	500	8428755	2039590269
PRJEB32631	SAMEA5617678	ERX3428606	ERR3404954	500	10375802	2522882770
PRJEB32631	SAMEA5617680	ERX3428607	ERR3404955	500	9856289	2394527731
PRJEB32631	SAMEA5617660	ERX3428608	ERR3404956	500	11865944	2894242275
PRJEB32631	SAMEA5616699	ERX3428609	ERR3404957	500	9755210	2358340220
